task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
909	05/a50b8e	10645	bwaMem (908)	COMPLETED	0	2020-09-18 08:23:03.841	47m 17s	47m 16s	96.7%	1.1 GB	1.4 GB	10.7 GB	10.4 GB
977	fd/750205	5506	bwaMem (976)	COMPLETED	0	2020-09-18 08:34:03.075	36m 52s	36m 52s	97.1%	1.1 GB	1.4 GB	9 GB	8.6 GB
995	e1/8a7579	3778	bwaMem (994)	COMPLETED	0	2020-09-18 09:08:20.193	3m 24s	3m 23s	95.0%	579.1 MB	1.1 GB	617.9 MB	594 MB
994	28/7ad6ba	542	bwaMem (993)	COMPLETED	0	2020-09-18 09:07:27.281	7m 41s	7m 41s	97.0%	1 GB	1.3 GB	2.1 GB	2.2 GB
988	58/be87bf	7098	bwaMem (987)	COMPLETED	0	2020-09-18 09:09:10.654	6m 27s	6m 26s	96.3%	1 GB	1.3 GB	1.8 GB	1.8 GB
993	bd/381fd1	15478	bwaMem (992)	COMPLETED	0	2020-09-18 09:03:03.867	15m 59s	15m 59s	97.3%	1.1 GB	1.4 GB	4 GB	3.8 GB
998	d4/29ab5c	25361	bwaMem (997)	COMPLETED	0	2020-09-18 09:19:03.325	3m 53s	3m 52s	91.7%	641.4 MB	1.1 GB	672.9 MB	652.7 MB
987	b6/df3651	5932	bwaMem (986)	COMPLETED	0	2020-09-18 09:15:08.475	7m 57s	7m 57s	94.8%	1010.4 MB	1.2 GB	1.4 GB	1.4 GB
992	60/5c1d71	15665	bwaMem (991)	COMPLETED	0	2020-09-18 09:10:55.432	12m 51s	12m 50s	96.4%	1 GB	1.4 GB	3.1 GB	2.9 GB
991	72/a8bdfd	20474	bwaMem (990)	COMPLETED	0	2020-09-18 09:11:43.704	12m 21s	12m 21s	96.1%	1 GB	1.4 GB	2.7 GB	2.8 GB
981	a9/0efd0a	7103	bwaMem (980)	COMPLETED	0	2020-09-18 08:54:22.453	30m 50s	30m 49s	97.1%	1.1 GB	1.4 GB	7.5 GB	7.3 GB
997	86/b02223	8716	bwaMem (996)	COMPLETED	0	2020-09-18 09:15:37.175	10m 41s	10m 40s	97.3%	1 GB	1.4 GB	2.6 GB	2.5 GB
1005	e0/1f9689	16108	bwaMem (1004)	COMPLETED	0	2020-09-18 09:23:46.382	6m 6s	6m 5s	95.1%	1 GB	1.4 GB	1.6 GB	1.6 GB
