task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
829	d7/c5faaa	16640	samtoolsIndex (828)	COMPLETED	0	2020-09-18 16:51:59.811	7.6s	7.4s	71.6%	6.2 MB	29.5 MB	205.9 MB	13.5 KB
833	cf/4d55b9	18830	samtoolsIndex (832)	COMPLETED	0	2020-09-18 16:52:04.760	3.7s	3.5s	69.5%	6.1 MB	29.5 MB	87.2 MB	13.7 KB
846	5b/ac3e57	20380	samtoolsIndex (845)	COMPLETED	0	2020-09-18 16:52:08.471	2.6s	2.4s	70.2%	6.2 MB	29.5 MB	59.6 MB	13.3 KB
839	32/a37797	18290	samtoolsIndex (838)	COMPLETED	0	2020-09-18 16:52:03.745	8.4s	8s	74.7%	6.1 MB	29.5 MB	206.6 MB	13.6 KB
830	22/6f769a	17156	samtoolsIndex (829)	COMPLETED	0	2020-09-18 16:52:00.937	11.6s	11.3s	65.9%	6.1 MB	29.5 MB	313.6 MB	13.8 KB
834	c0/1f1636	19630	samtoolsIndex (833)	COMPLETED	0	2020-09-18 16:52:06.903	7.5s	7.2s	71.4%	6.3 MB	29.6 MB	185.6 MB	14.3 KB
837	b9/62dbf0	17079	samtoolsIndex (836)	COMPLETED	0	2020-09-18 16:52:00.782	14.8s	14.5s	67.4%	6.1 MB	29.5 MB	379 MB	13.9 KB
850	0f/2dbb4a	21729	samtoolsIndex (849)	COMPLETED	0	2020-09-18 16:52:12.169	3.6s	3.3s	69.0%	6.1 MB	29.5 MB	82.1 MB	13.6 KB
843	82/a2040d	22610	samtoolsIndex (842)	COMPLETED	0	2020-09-18 16:52:14.376	2.3s	2s	60.2%	6.2 MB	29.5 MB	52.7 MB	13.6 KB
838	43/86cbd0	19935	samtoolsIndex (837)	COMPLETED	0	2020-09-18 16:52:07.411	9.8s	9.3s	68.7%	6.2 MB	29.5 MB	229.6 MB	13.6 KB
847	7d/65c33c	23705	samtoolsIndex (846)	COMPLETED	0	2020-09-18 16:52:17.227	4.1s	3.8s	62.2%	6.2 MB	29.5 MB	89.2 MB	13.8 KB
845	6a/f7db06	23425	samtoolsIndex (844)	COMPLETED	0	2020-09-18 16:52:16.642	9.3s	8.8s	62.1%	6.2 MB	29.5 MB	212.6 MB	13.5 KB
848	8f/4cc9ac	21318	samtoolsIndex (847)	COMPLETED	0	2020-09-18 16:52:11.086	17s	16.8s	66.4%	6.2 MB	29.6 MB	442.4 MB	14.3 KB
832	12/207fb6	17463	samtoolsIndex (831)	COMPLETED	0	2020-09-18 16:52:01.501	27.4s	27.1s	60.9%	6.3 MB	29.8 MB	681.2 MB	15.2 KB
844	35/33f10d	23126	samtoolsIndex (843)	COMPLETED	0	2020-09-18 16:52:15.757	13.7s	13.5s	63.0%	6.3 MB	29.6 MB	360.1 MB	13.7 KB
851	08/7dd012	23005	samtoolsIndex (850)	COMPLETED	0	2020-09-18 16:52:15.577	14s	13.8s	65.3%	6.2 MB	29.6 MB	354.2 MB	14.1 KB
861	b7/3cc91b	27352	samtoolsIndex (860)	COMPLETED	0	2020-09-18 16:52:29.596	2.4s	2.2s	58.0%	6.2 MB	29.5 MB	48.1 MB	13.4 KB
840	06/c00fb4	21898	samtoolsIndex (839)	COMPLETED	0	2020-09-18 16:52:12.522	21.5s	21.2s	66.4%	6.2 MB	29.6 MB	556.6 MB	14.5 KB
859	af/d328f7	27296	samtoolsIndex (858)	COMPLETED	0	2020-09-18 16:52:29.470	5.7s	5.4s	68.2%	6.3 MB	29.6 MB	134.6 MB	13.8 KB
836	2e/fe9d7e	19818	samtoolsIndex (835)	COMPLETED	0	2020-09-18 16:52:07.159	28.8s	28.6s	67.4%	6.2 MB	29.6 MB	748.7 MB	15.4 KB
854	76/483787	28160	samtoolsIndex (853)	COMPLETED	0	2020-09-18 16:52:32.008	8.9s	8.6s	58.7%	6.1 MB	29.5 MB	214.8 MB	13.6 KB
853	05/14e001	27136	samtoolsIndex (852)	COMPLETED	0	2020-09-18 16:52:28.944	12.2s	12s	63.1%	6.1 MB	29.5 MB	321 MB	13.8 KB
855	aa/5f5922	28789	samtoolsIndex (854)	COMPLETED	0	2020-09-18 16:52:33.980	8.8s	8.6s	62.8%	6.1 MB	29.5 MB	217.7 MB	13.7 KB
